id,case_id,occurred_at
1,1001,2024-04-04 13:16:06.903643
2,1003,2024-02-29 06:38:20.691404
3,1005,2024-04-16 07:03:37.469156
4,1007,2024-04-01 15:28:21.977941
5,1009,2024-02-07 15:56:36.902889
6,1011,2024-04-28 21:41:04.321602
7,1013,2024-04-11 15:39:20.090409
8,1015,2024-04-14 17:46:52.654171
9,1017,2024-02-29 02:18:20.268285
10,1019,2024-03-25 17:24:40.772256
11,1021,2024-03-24 05:56:56.957622
12,1023,2024-04-27 01:05:14.731972
13,1025,2024-04-13 04:38:17.318748
14,1027,2024-04-23 04:50:10.549010
15,1029,2024-04-08 17:40:39.471147
16,1031,2024-02-04 10:49:03.662967
17,1034,2024-03-17 21:41:36.434219
18,1037,2024-02-04 20:54:30.605321
19,1039,2024-04-16 20:46:41.327333
20,1042,2024-04-05 05:11:46.285890
21,1045,2024-04-17 10:52:11.721629
22,1047,2024-03-31 00:24:50.095028
23,1050,2024-04-29 22:40:59.135078
24,1053,2024-04-25 08:03:00.238759
25,1056,2024-04-18 08:49:43.046389
26,1058,2024-03-10 10:57:54.198938
27,1060,2024-03-13 11:19:07.219703
