id,case_id,occurred_at
1,1002,2024-01-12 00:53:54.216862
2,1006,2024-02-06 10:17:41.211464
3,1008,2024-04-01 04:57:30.378654
4,1012,2024-04-09 19:33:58.372446
5,1016,2024-04-28 15:04:37.384409
6,1020,2024-03-19 12:38:52.589418
7,1024,2024-03-29 06:20:01.367273
8,1028,2024-04-08 17:18:44.127958
9,1032,2024-02-03 11:06:35.145887
10,1035,2024-02-07 11:20:20.933855
11,1038,2024-03-16 09:16:18.789455
12,1041,2024-03-04 18:59:27.614092
13,1043,2024-04-08 21:03:39.252418
14,1046,2024-04-02 07:04:26.215319
15,1049,2024-04-24 11:23:12.449436
16,1051,2024-03-30 12:40:05.005364
17,1055,2024-03-08 08:45:01.269602
18,1059,2024-04-23 06:48:53.354665
